trade_date,due_date,open_price,min_price,close_price,final_price,-,buy_due_date,buy_price,-,sell_due_date,sell_price,-,all_deals_due_date,all_deals_buy_price,deals_total_value,net_gain,-,total_net_gain,cash,total,-,deal_min_price,period_min_price,diff_deal_period_min_price
2002-02-20,101,"","","","","","","","","","","",2002-03-01,4450,"","","","","","","","","",""
2002-02-20,2002-12-01,5739,5702,5721,5686,"","","","","","","","","","","","","","","","","","",""
2002-02-20,199,"","","","","","","","","","","","","",10201,"","","",6337,16538,"","","",""
2002-02-20,100,"","","","","",2002-06-01,5751,"","","","","","","","","","",6337,16538,"","","",""
2002-02-20,102,"","","","","","","","","","","",2002-06-01,5751,"","","","","","","","","",""
2002-05-15,2002-05-01,5820,5810,5891,5891,"","","","","","","","","","","","","","","","","","",""
2002-05-15,2002-06-01,5829,5822,5893,5893,"","","","","","","","","","","","","","","","","","",""
2002-05-15,102,"","","","","","","","","","","",2002-09-01,5930,"","","","","","","","","",""
2002-05-15,2002-09-01,5930,5930,5930,5900,"","","","","","","","","","","","","","","","","","",""
2002-05-15,2002-12-01,5870,5860,5865,5808,"","","","","","","","","","","","","","","","","","",""
2002-08-21,2003-06-01,4890,4890,4890,4890,"","","","","","","","","","","","","","","","","","",""
2002-05-15,2003-03-01,5924,5924,5924,5925,"","","","","","","","","","","","","","","","","","",""
2002-05-15,199,"","","","","","","","","","","","","",11681,"","","",6073,17754,"","","",""
2002-05-15,100,"","","","","",2002-09-01,5930,"","","","","","","","","","",6073,17754,"","","",""
2002-05-15,101,"","","","","","","","","","","",2002-06-01,5751,"","","","","","","","","",""
2002-08-21,2002-09-01,4850,4825,4857,4857,"","","","","","","","","","","","","","","","","","",""
2002-05-15,200,"","","","","","","","",2002-06-01,5893,"","","","",142,"",-2104,11966,17896,"",5822,"",""
2002-08-21,2003-03-01,4850,4850,4850,4855,"","","","","","","","","","","","","","","","","","",""
2002-08-21,2002-08-01,4873,4842,4894,4894,"","","","","","","","","","","","","","","","","","",""
2002-08-21,2002-12-01,4850,4820,4820,4820,"","","","","","","","","","","","","","","","","","",""
2002-08-21,100,"","","","","",2002-12-01,4850,"","","","","","","","","","",7116,17896,"","","",""
2002-08-21,101,"","","","","","","","","","","",2002-09-01,5930,"","","","","","","","","",""
2002-11-20,2003-03-01,4681,4643,4643,4631,"","","","","","","","","","","","","","","","","","",""
2002-08-21,102,"","","","","","","","","","","",2002-12-01,4850,"","","","","","","","","",""
2002-08-21,199,"","","","","","","","","","","","","",10780,"","","",7116,17896,"","","",""
2002-11-20,200,"","","","","","","","",2002-12-01,4675,"","","","",-175,"",-3352,11967,16648,"",4650,"",""
2002-08-21,200,"","","","","","","","",2002-09-01,4857,"","","","",-1073,"",-3177,11973,16823,"",4825,"",""
2002-11-20,2003-06-01,4657,4657,4667,4671,"","","","","","","","","","","","","","","","","","",""
2002-11-20,2002-11-01,4711,4640,4661,4661,"","","","","","","","","","","","","","","","","","",""
2002-11-20,2002-12-01,4725,4650,4675,4675,"","","","","","","","","","","","","","","","","","",""
2002-11-20,101,"","","","","","","","","","","",2002-12-01,4850,"","","","","","","","","",""
2002-11-20,2003-09-01,4638,4638,4638,4638,"","","","","","","","","","","","","","","","","","",""
2002-11-20,199,"","","","","","","","","","","","","",9531,"","","",7292,16823,"","","",""
2002-11-20,100,"","","","","",2003-03-01,4681,"","","","","","","","","","",7292,16823,"","","",""
2002-11-20,102,"","","","","","","","","","","",2003-03-01,4681,"","","","","","","","","",""
2003-02-19,2003-02-01,4680,4541,4545,4545,"","","","","","","","","","","","","","","","","","",""
2003-02-19,2003-03-01,4668,4525,4531,4531,"","","","","","","","","","","","","","","","","","",""
2003-02-19,102,"","","","","","","","","","","",2003-06-01,4600,"","","","","","","","","",""
2003-02-19,2003-06-01,4600,4530,4530,4530,"","","","","","","","","","","","","","","","","","",""
2003-02-19,2003-09-01,4640,4640,4640,4640,"","","","","","","","","","","","","","","","","","",""
2003-05-21,2004-03-01,4212,4212,4212,4212,"","","","","","","","","","","","","","","","","","",""
2003-02-19,2003-12-01,4606,4606,4606,4606,"","","","","","","","","","","","","","","","","","",""
2003-02-19,199,"","","","","","","","","","","","","",9281,"","","",7367,16648,"","","",""
2003-02-19,100,"","","","","",2003-06-01,4600,"","","","","","","","","","",7367,16648,"","","",""
2003-02-19,101,"","","","","","","","","","","",2003-03-01,4681,"","","","","","","","","",""
2003-05-21,2003-06-01,4196,4170,4192,4192,"","","","","","","","","","","","","","","","","","",""
2003-02-19,200,"","","","","","","","",2003-03-01,4531,"","","","",-150,"",-3502,11898,16498,"",4525,"",""
2003-05-21,2003-12-01,4200,4195,4195,4195,"","","","","","","","","","","","","","","","","","",""
2003-05-21,2003-05-01,4231,4213,4240,4240,"","","","","","","","","","","","","","","","","","",""
2003-05-21,2003-09-01,4195,4174,4181,4210,"","","","","","","","","","","","","","","","","","",""
2003-05-21,100,"","","","","",2003-09-01,4195,"","","","","","","","","","",7703,16498,"","","",""
2003-05-21,101,"","","","","","","","","","","",2003-06-01,4600,"","","","","","","","","",""
2003-08-20,2003-12-01,5550,5520,5520,5520,"","","","","","","","","","","","","","","","","","",""
2003-05-21,102,"","","","","","","","","","","",2003-09-01,4195,"","","","","","","","","",""
2003-05-21,199,"","","","","","","","","","","","","",8795,"","","",7703,16498,"","","",""
2003-08-20,200,"","","","","","","","",2003-09-01,5523,"","","","",1328,"",-2582,11868,17418,"",5523,"",""
2003-05-21,200,"","","","","","","","",2003-06-01,4192,"","","","",-408,"",-3910,11895,16090,"",4170,"",""
2003-08-20,2004-03-01,5520,5520,5520,5520,"","","","","","","","","","","","","","","","","","",""
2003-08-20,2003-08-01,5543,5520,5520,5520,"","","","","","","","","","","","","","","","","","",""
2003-08-20,2003-09-01,5559,5523,5523,5523,"","","","","","","","","","","","","","","","","","",""
2003-08-20,101,"","","","","","","","","","","",2003-09-01,4195,"","","","","","","","","",""
2003-08-20,2004-06-01,5524,5524,5524,5524,"","","","","","","","","","","","","","","","","","",""
2003-08-20,199,"","","","","","","","","","","","","",9745,"","","",6345,16090,"","","",""
2003-08-20,100,"","","","","",2003-12-01,5550,"","","","","","","","","","",6345,16090,"","","",""
2003-08-20,102,"","","","","","","","","","","",2003-12-01,5550,"","","","","","","","","",""
2003-11-19,2003-11-01,5900,5841,5865,5865,"","","","","","","","","","","","","","","","","","",""
2003-11-19,2003-12-01,5912,5852,5886,5886,"","","","","","","","","","","","","","","","","","",""
2003-11-19,102,"","","","","","","","","","","",2004-03-01,5900,"","","","","","","","","",""
2003-11-19,2004-03-01,5900,5860,5890,5860,"","","","","","","","","","","","","","","","","","",""
2003-11-19,2004-06-01,5905,5864,5864,5864,"","","","","","","","","","","","","","","","","","",""
2004-02-18,2004-12-01,6714,6618,6618,6661,"","","","","","","","","","","","","","","","","","",""
2003-11-19,2004-09-01,5900,5900,5900,5939,"","","","","","","","","","","","","","","","","","",""
2003-11-19,199,"","","","","","","","","","","","","",11450,"","","",5968,17418,"","","",""
2003-11-19,100,"","","","","",2004-03-01,5900,"","","","","","","","","","",5968,17418,"","","",""
2003-11-19,101,"","","","","","","","","","","",2003-12-01,5550,"","","","","","","","","",""
2004-02-18,2004-03-01,6639,6601,6635,6635,"","","","","","","","","","","","","","","","","","",""
2003-11-19,200,"","","","","","","","",2003-12-01,5886,"","","","",336,"",-2246,11854,17754,"",5852,"",""
2004-02-18,2004-09-01,6710,6627,6638,6658,"","","","","","","","","","","","","","","","","","",""
2004-02-18,2004-02-01,6618,6590,6615,6615,"","","","","","","","","","","","","","","","","","",""
2004-02-18,2004-06-01,6675,6621,6645,6641,"","","","","","","","","","","","","","","","","","",""
2004-02-18,100,"","","","","",2004-06-01,6675,"","","","","","","","","","",5179,17754,"","","",""
2004-02-18,101,"","","","","","","","","","","",2004-03-01,5900,"","","","","","","","","",""
2004-05-19,2004-09-01,5480,5480,5804,5804,"","","","","","","","","","","","","","","","","","",""
2004-02-18,102,"","","","","","","","","","","",2004-06-01,6675,"","","","","","","","","",""
2004-02-18,199,"","","","","","","","","","","","","",12575,"","","",5179,17754,"","","",""
2004-05-19,200,"","","","","","","","",2004-06-01,5831,"","","","",-844,"",-2355,12165,17645,"",5526,"",""
2004-02-18,200,"","","","","","","","",2004-03-01,6635,"","","","",735,"",-1511,11814,18489,"",6601,"",""
2004-05-19,2004-12-01,5680,5680,5750,5752,"","","","","","","","","","","","","","","","","","",""
2004-05-19,2004-05-01,5592,5560,5891,5891,"","","","","","","","","","","","","","","","","","",""
2004-05-19,2004-06-01,5533,5526,5831,5831,"","","","","","","","","","","","","","","","","","",""
2004-05-19,101,"","","","","","","","","","","",2004-06-01,6675,"","","","","","","","","",""
2004-05-19,2005-03-01,5740,5740,5750,5787,"","","","","","","","","","","","","","","","","","",""
2004-05-19,199,"","","","","","","","","","","","","",12155,"","","",6334,18489,"","","",""
2004-05-19,100,"","","","","",2004-09-01,5480,"","","","","","","","","","",6334,18489,"","","",""
2004-05-19,102,"","","","","","","","","","","",2004-09-01,5480,"","","","","","","","","",""
2004-08-18,2004-08-01,5328,5295,5423,5423,"","","","","","","","","","","","","","","","","","",""
2004-08-18,2004-09-01,5303,5250,5380,5380,"","","","","","","","","","","","","","","","","","",""
2004-08-18,102,"","","","","","","","","","","",2004-12-01,5231,"","","","","","","","","",""
2004-08-18,2004-12-01,5231,5216,5330,5327,"","","","","","","","","","","","","","","","","","",""
2004-08-18,2005-03-01,5230,5230,5360,5360,"","","","","","","","","","","","","","","","","","",""
2004-11-17,2005-09-01,5918,5918,6010,6010,"","","","","","","","","","","","","","","","","","",""
2004-08-18,2005-06-01,5230,5200,5241,5274,"","","","","","","","","","","","","","","","","","",""
2004-08-18,199,"","","","","","","","","","","","","",10711,"","","",6934,17645,"","","",""
2004-08-18,100,"","","","","",2004-12-01,5231,"","","","","","","","","","",6934,17645,"","","",""
2004-08-18,101,"","","","","","","","","","","",2004-09-01,5480,"","","","","","","","","",""
2004-11-17,2004-12-01,5955,5924,6063,6063,"","","","","","","","","","","","","","","","","","",""
2004-08-18,200,"","","","","","","","",2004-09-01,5380,"","","","",-100,"",-2455,12314,17545,"",5250,"",""
2004-11-17,2005-06-01,5950,5950,6045,6045,"","","","","","","","","","","","","","","","","","",""
2004-11-17,2004-11-01,5900,5898,6040,6040,"","","","","","","","","","","","","","","","","","",""
2004-11-17,2005-03-01,5925,5925,6060,6060,"","","","","","","","","","","","","","","","","","",""
2004-11-17,100,"","","","","",2005-03-01,5925,"","","","","","","","","","",6389,17545,"","","",""
2004-11-17,101,"","","","","","","","","","","",2004-12-01,5231,"","","","","","","","","",""
2005-02-16,2005-06-01,6120,6072,6125,6125,"","","","","","","","","","","","","","","","","","",""
2004-11-17,102,"","","","","","","","","","","",2005-03-01,5925,"","","","","","","","","",""
2004-11-17,199,"","","","","","","","","","","","","",11156,"","","",6389,17545,"","","",""
2005-02-16,200,"","","","","","","","",2005-03-01,6128,"","","","",203,"",-1420,12460,18580,"",6075,"",""
2004-11-17,200,"","","","","","","","",2004-12-01,6063,"","","","",832,"",-1623,12452,18377,"",5924,"",""
2005-02-16,2005-09-01,6068,6025,6067,6067,"","","","","","","","","","","","","","","","","","",""
2005-02-16,2005-02-01,6140,6042,6128,6128,"","","","","","","","","","","","","","","","","","",""
2005-02-16,2005-03-01,6150,6075,6128,6128,"","","","","","","","","","","","","","","","","","",""
2005-02-16,101,"","","","","","","","","","","",2005-03-01,5925,"","","","","","","","","",""
2005-02-16,2005-12-01,6055,5971,5973,5973,"","","","","","","","","","","","","","","","","","",""
2005-02-16,199,"","","","","","","","","","","","","",12045,"","","",6332,18377,"","","",""
2005-02-16,100,"","","","","",2005-06-01,6120,"","","","","","","","","","",6332,18377,"","","",""
2005-02-16,102,"","","","","","","","","","","",2005-06-01,6120,"","","","","","","","","",""
2005-05-18,2005-05-01,5909,5880,5880,5880,"","","","","","","","","","","","","","","","","","",""
2005-05-18,2005-06-01,5875,5862,5870,5870,"","","","","","","","","","","","","","","","","","",""
2005-05-18,102,"","","","","","","","","","","",2005-09-01,5697,"","","","","","","","","",""
2005-05-18,2005-09-01,5697,5691,5708,5708,"","","","","","","","","","","","","","","","","","",""
2005-05-18,2005-12-01,5717,5717,5718,5713,"","","","","","","","","","","","","","","","","","",""
2005-08-17,2006-06-01,6215,6215,6215,6212,"","","","","","","","","","","","","","","","","","",""
2005-05-18,2006-03-01,5700,5700,5700,5718,"","","","","","","","","","","","","","","","","","",""
2005-05-18,199,"","","","","","","","","","","","","",11817,"","","",6763,18580,"","","",""
2005-05-18,100,"","","","","",2005-09-01,5697,"","","","","","","","","","",6763,18580,"","","",""
2005-05-18,101,"","","","","","","","","","","",2005-06-01,6120,"","","","","","","","","",""
2005-08-17,2005-09-01,6190,6185,6218,6218,"","","","","","","","","","","","","","","","","","",""
2005-05-18,200,"","","","","","","","",2005-06-01,5870,"","","","",-250,"",-1670,12633,18330,"",5862,"",""
2005-08-17,2006-03-01,6238,6226,6226,6212,"","","","","","","","","","","","","","","","","","",""
2005-08-17,2005-08-01,6185,6185,6220,6220,"","","","","","","","","","","","","","","","","","",""
2005-08-17,2005-12-01,6222,6202,6202,6202,"","","","","","","","","","","","","","","","","","",""
2005-08-17,100,"","","","","",2005-12-01,6222,"","","","","","","","","","",6411,18330,"","","",""
2005-08-17,101,"","","","","","","","","","","",2005-09-01,5697,"","","","","","","","","",""
2005-11-16,2006-03-01,6050,5990,6045,6045,"","","","","","","","","","","","","","","","","","",""
2005-08-17,102,"","","","","","","","","","","",2005-12-01,6222,"","","","","","","","","",""
2005-08-17,199,"","","","","","","","","","","","","",11919,"","","",6411,18330,"","","",""
2005-11-16,200,"","","","","","","","",2005-12-01,6050,"","","","",-172,"",-1321,12629,18679,"",5995,"",""
2005-08-17,200,"","","","","","","","",2005-09-01,6218,"","","","",521,"",-1149,12629,18851,"",6185,"",""
2005-11-16,2006-06-01,6063,6015,6015,6053,"","","","","","","","","","","","","","","","","","",""
